2018_q1_sum,2018_q2_sum,2018_q3_sum,2018_q4_sum,2019_q1_sum,2019_q2_sum,summs,sumsyears,compl,Len Compl,sum rev,Len rev,sum decl,Len decl,sum canc,Len canc,sum fail,Len fail,new,Sum  of True Trans,Plh8os True Trans,user_id
0.0,0.0,5.321100917431193,63.48623853211009,14.311926605504587,16.880733944954127,545.0,545.0,6925.080000000003,520.0,32.63,8.0,130.45000000000002,6.0,0.0,0.0,31.260000000000005,9.0,6892.450000000003,6730.7400000000025,497.0,user_0
5.47945205479452,4.109589041095891,8.219178082191782,19.863013698630137,39.726027397260275,22.602739726027398,146.0,146.0,12955.540000000005,133.0,1.88,6.0,1203.81,6.0,0.0,0.0,0.85,1.0,12953.660000000005,11749.000000000005,120.0,user_1
0.0,0.0,0.0,1.4184397163120568,91.13475177304964,7.446808510638298,282.0,282.0,2723.9000000000033,268.0,9.36,2.0,79.91999999999999,10.0,0.0,0.0,170.22,2.0,2714.540000000003,2464.4000000000033,254.0,user_2
1.2658227848101267,1.8987341772151898,20.253164556962027,24.68354430379747,33.54430379746835,18.354430379746834,158.0,158.0,6999.289999999999,140.0,546.53,4.0,719.4599999999998,9.0,0.0,0.0,0.0,0.0,6452.759999999998,5733.299999999998,127.0,user_3
6.779661016949152,22.033898305084747,50.847457627118644,13.559322033898304,6.779661016949152,0.0,59.0,59.0,981.4299999999997,50.0,2.0,6.0,43.97,1.0,0.0,0.0,41.0,2.0,979.4299999999997,894.4599999999997,41.0,user_4
0.0,0.0,100.0,0.0,0.0,0.0,3.0,3.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,1.0,user_5
0.0,0.0,4.705882352941177,44.705882352941174,48.23529411764706,2.3529411764705883,85.0,85.0,1379.1700000000005,76.0,1.6,3.0,31.96,5.0,39.15,1.0,0.0,0.0,1377.5700000000006,1306.4600000000005,67.0,user_6
2.479338842975207,15.392561983471074,25.929752066115704,14.566115702479339,31.611570247933884,10.020661157024794,968.0,968.0,30699.519999999964,769.0,9917.420000000016,96.0,3007.48,55.0,163.76000000000005,5.0,6891.0300000000025,36.0,20782.099999999948,10719.829999999944,577.0,user_7
0.0,0.0,0.631578947368421,34.73684210526316,58.10526315789474,6.526315789473684,475.0,475.0,6210.270000000023,441.0,143.80999999999997,13.0,209.48000000000005,13.0,0.0,0.0,280.85,6.0,6066.460000000023,5576.130000000022,409.0,user_8
0.0,0.0,55.223880597014926,0.0,44.776119402985074,0.0,67.0,67.0,3185.0,62.0,23.0,3.0,304.1500000000001,2.0,0.0,0.0,0.0,0.0,3162.0,2857.85,57.0,user_9
0.0,3.4965034965034967,19.58041958041958,46.85314685314685,12.587412587412587,17.482517482517483,143.0,143.0,5438.920000000002,123.0,57.85,3.0,726.16,16.0,0.0,0.0,0.0,0.0,5381.0700000000015,4654.910000000002,104.0,user_10
5.376344086021505,0.0,0.0,40.86021505376344,43.01075268817204,10.75268817204301,93.0,93.0,10673.51,86.0,2.0,3.0,35.34,3.0,0.0,0.0,0.0,0.0,10671.51,10636.17,80.0,user_11
0.0,0.0,8.974358974358974,38.46153846153846,28.205128205128204,24.358974358974358,78.0,78.0,6854.549999999991,67.0,0.85,1.0,118.26,9.0,0.0,0.0,0.0,0.0,6853.699999999992,6735.439999999991,57.0,user_12
